,Hotel Name,Type,Price,Review Rating,Review text,Date of Review,Review count
44,Ridgemount Hotel,Holiday Home,"? 20,982",4,Great value in perfect location,04-05-2011,18
45,Apex London Wall Hotel,Holiday Home,"? 20,982",4,Eccellente,4/30/2013,18
46,The Savoy,Holiday Home,"? 26,534",5,Superior in every respect,7/24/2017,19
47,Mondrian London at Sea Containers,Holiday Home,"? 26,534",5,Excellent hotel all round,07-04-2016,18
48,The Dorchester,Holiday Home,"? 28,330",2,Disappointing ...,06-08-2014,3
49,Mondrian London at Sea Containers,Holiday Home,"? 28,330",4,Visit 3 July,07-05-2015,1
50,Apex London Wall Hotel,Double Room with Shared Bathroom,"? 7,136",4,Good hotel but bad bed,2/15/2015,88
51,Mondrian London at Sea Containers,Two-Bedroom Apartment,"? 7,887",3,Where is the Wow Factor?,09-04-2015,36
52,"Hotel Xenia, Autograph Collection",Two-Bedroom House,"? 11,757",5,Ottimo,4/14/2014,500
53,The Rembrandt,One-Bedroom Apartment,"? 19,529",5,Great Stay in London,5/21/2012,125
54,Corinthia Hotel London,Small Double Room with Shared Bathroom,"? 6,940",4,A Fabulous Treat!,04-03-2012,353
55,Mondrian London at Sea Containers,Double Room with Private Bathroom,"? 6,948",5,Great value South Bank Sunday package,7/27/2015,131
56,Mondrian London at Sea Containers,Double Room,"? 8,287",5,"Different, Great Location, Great Interior",12/17/2017,841
57,Mondrian London at Sea Containers,"Superior, Guest room, 1 King","? 10,340",5,This is such a nice hotel!,5/23/2018,500
58,The Savoy,Suite,"? 15,920",5,A Great Stay,06-07-2016,424
59,The Rembrandt,Comfort Twin Room,"? 8,381",3,Could be so much better,3/20/2017,500
60,Ridgemount Hotel,Deluxe Double or Twin Room,"? 9,396",5,Très sympathique,5/19/2016,500
61,Mondrian London at Sea Containers,Classic Double Room,"? 9,539",4,Excellent hotel but make sure you book to use the bar area in advance,4/26/2018,1013
62,"Hotel Xenia, Autograph Collection",Standard Suite,"? 10,140",4,Superbreak Stay,02-09-2014,392
63,"Mandarin Oriental Hyde Park, London",Comfort Double Room with Shower,"? 11,430",5,best in the whole world,2/15/2012,500
64,Mondrian London at Sea Containers,Standard Twin Room,"? 8,187",5,Excelente opcion en Londres,9/15/2015,1136
65,The Savoy,Standard Twin Room,"? 10,973",5,BEaufort suite - Faultless,2/23/2018,800
66,Apex London Wall Hotel,Double Room,"? 6,129",5,Friendliest staff,10/29/2013,1123
67,Corinthia Hotel London,Comfort Twin Room,"? 7,266",5,Fabulous hotel,10-04-2015,500
68,The Savoy,Superior Double Room with Sofa Bed,"? 8,899",5,Everything I had hoped for.,07-01-2015,1232
69,Mondrian London at Sea Containers,Double Room,"? 3,988",5,Lovely Birthday treat,1/31/2016,709
70,Apex London Wall Hotel,Double or Twin Room,"? 13,267",5,Beautiful hotel experience,8/14/2017,108
71,Corinthia Hotel London,Superior Queen Room,"? 6,287",5,Elegance - great for drinks for business or with family or friends,12/13/2016,500
72,Rhodes Hotel,Twin Standard,"? 8,743",4,Good place to stay in London,10-03-2013,500
73,"Mandarin Oriental Hyde Park, London",Double Room,"? 9,797",5,Great Location in the Heart of Knightsbridge,5/30/2014,1047
74,The Rembrandt,Deluxe Double Room,"? 11,530",4,Trip to Wimbledon,07-08-2014,1136
75,The Savoy,One-Bedroom Apartment,"? 19,168",5,Exemplary Service and Stunning Hotel,6/17/2015,61
76,Rhodes Hotel,Family Suite,"? 19,594",4,Petite mais propre/ small but clean,05-01-2018,347
77,The Savoy,One-Bedroom Apartment,"? 20,535",5,Wow....,5/19/2013,67
78,Rhodes Hotel,Small Double Room with Canal View,"? 7,616",4,Handy for everything,7/21/2018,1069
79,The Savoy,Standard Twin Room,"? 8,377",5,Absolutely Amazing Stay,08-02-2017,500
80,"Bulgari Hotel, London", Deluxe double or Twin Room,"? 8,817",5,anything you dream,7/15/2012,500
81,The Dorchester,Basic Double Room,"? 9,389",5,lost for words,5/14/2012,500
82,The Lanesborough,Double Room,"? 9,797",5,Amazing Service,1/26/2017,489
83,The Lanesborough,Standard Double Room with City View,"? 10,001",5,Lebanese food,10/15/2018,526
84,"Mandarin Oriental Hyde Park, London",Deluxe Double Room,"? 10,716",4,Confortavel e belo,04-05-2015,1562
85,Apex London Wall Hotel,One-Bedroom Apartment,"? 24,046",5,excellent hotel,8/31/2010,14
86,The Rembrandt,Double Room,"? 7,023",5,"Excellent Stay at The Rembrandt: Location, Comfort, Service",2/21/2014,1583
87,Mondrian London at Sea Containers,Standard Twin Room,"? 7,722",5,Great hotel and super location,1/25/2017,662
88,"Bulgari Hotel, London",Deluxe Double Room with Shower,"? 8,397",4,late lunch,4/30/2016,2171
89,"Hotel Xenia, Autograph Collection",Double Room,"? 5,515",5,Xenia weekend break,10/23/2014,1943
90,The Dorchester,Double Room,"? 12,165",5,good,7/18/2017,677
91,The Rembrandt,Superior Twin Room,"? 12,655",4,A perfect base,5/29/2010,549
92,The Rembrandt,Standard King Room,"? 14,500",5,short break,1/17/2012,582
93,Rhodes Hotel,Studio,"? 19,594",4,Comfortable and friendly,2/23/2013,249
94,"Hotel Xenia, Autograph Collection",Deluxe Double Room with Balcony,"? 8,940",4,Solid addition to Autograph name,9/17/2016,252
95,Rhodes Hotel,Superior Double Room,"? 9,699",4,Cheap comfortable one night stay around from Hyde Park,3/15/2016,891
96,Corinthia Hotel London,Two-Bedroom Apartment,"? 11,922",5,A Gem-Off the Radar. Best Hotel,10-08-2012,261
97,"The Wellesley Knightsbridge, a Luxury Collection Hotel, London",One-Bedroom Apartment,"? 11,250",5,Amazing jazz dinner experience,7/19/2018,500
98,The Savoy,Small Double Room,"? 12,221",5,POSH!,3/15/2013,95
99,Mondrian London at Sea Containers,Comfort Double Room,"? 11,499",5,Our Mondrian hotel stay was our best ever stay in a London hotel,4/29/2015,500
100,Mondrian London at Sea Containers,Double Room,"? 12,022",5,Little bit of LA on The Thames,10/19/2014,1143
101,London Guest House,Deluxe Double Room,"? 14,108",5,Great staff,3/14/2018,64
102,Mondrian London at Sea Containers,Comfort Double or Twin Room with Private Bathroom,"? 9,013",5,OMG the view!,12-08-2014,964
103,Mondrian London at Sea Containers,Deluxe Twin Room,"? 8,952",5,Birthday two-nighter,7/21/2015,166
104,Mondrian London at Sea Containers,Double Room,"? 10,238",5,5 star service in a 5 Star location,11/25/2016,500
105,A To Z Hotel,Comfort Twin Room,"? 11,922",2,minimo indispensabile,11/21/2015,500
106,Rhodes Hotel,Studio,"? 14,614",4,What a find,10/18/2010,158
107,Mondrian London at Sea Containers,Classic King Room,"? 10,948",5,Great visit,5/13/2015,500
108,Apex London Wall Hotel,Triple Room,"? 11,838",5,Fab!,3/13/2017,500
109,Apex London Wall Hotel,Deluxe Double Room ,"? 6,531",5,"Overall enjoyable stay, would recommend",2/13/2013,4
110,Mondrian London at Sea Containers,Deluxe Double Room with Balcony,"? 11,023",5,Top Hotel,7/14/2015,500
111,The Savoy,Standard Double Room,"? 6,450",5,Just fabulous,11/19/2017,996
112,45 Park Lane - Dorchester Collection,Double Room,"? 6,577",5,Best I have expierenced in London,9/20/2012,983
113,Mondrian London at Sea Containers,Deluxe Suite,"? 13,145",5,My new London favorite,08-10-2017,500
114,The Rembrandt,Twin Room with Bathroom,"? 5,108",4,Stayed at the Rembrandt,4/14/2015,234
115,Ridgemount Hotel,Deluxe King Room,"? 20,941",4,Cheap and Basic,6/25/2009,63
116,"Hotel Xenia, Autograph Collection",Deluxe Double or Twin Room,"? 5,713",5,Fabulous,1/21/2016,283
117,Corinthia Hotel London,King Room,"? 6,127",5,A Fantastic Experience!,07-03-2017,3075
118,Apex London Wall Hotel,Comfort Double Room,"? 6,234",4,Gutes Hotel nahe Ubahn,7/15/2016,500
119,Apex London Wall Hotel,Standard Queen Room,"? 6,287",5,Great smaller hotel in financial district,6/14/2017,500
120,"Hotel Xenia, Autograph Collection",Standard Double Room,"? 6,450",5,Excelente hotel bien situado,11-11-2013,4566
121,"Hotel Xenia, Autograph Collection",Deluxe Twin Room,"? 6,692",5,Great hotel,6/13/2016,1375
122,The Savoy,Monastery Mystery,"? 9,169",5,One of the best hotels in London.,11/15/2016,2480
123,"Bulgari Hotel, London",Small Double Room,"? 10,546",5,high tea,12/27/2013,33
124,Rhodes Hotel,Superior Twin Room,"? 12,818",4,Bene ma quante scale!!!,2/20/2018,500
125,Corinthia Hotel London,Superior Twin/Double Room ,"? 13,634",1,1 star service,4/13/2014,500
126,Rhodes Hotel,Standard Twin Room,"? 5,633",5,"Great place to stay, feel like home",11/18/2014,1672
127,"Mandarin Oriental Hyde Park, London",Double Room with Shared Bathroom,"? 5,715",5,Special Afternoon Tea,3/18/2015,785
128,"Mandarin Oriental Hyde Park, London",Single Bed in 14-Bed Dormitory Room,"? 6,035",5,Great Location,5/21/2016,805
129,The Rembrandt,Deluxe King Room,"? 6,205",5,Great hotel,3/26/2017,500
130,Ridgemount Hotel,Double Room,"? 6,384",4,Great location,11-01-2007,1684
131,Mondrian London at Sea Containers,Comfort Double Room,"? 6,632",5,Stunning,09-11-2016,500
132,Apex London Wall Hotel,Standard Twin Room,"? 6,692",5,Never Disappoints!,11/22/2016,500
133,The Savoy,Double Room with Private Bathroom,"? 6,910",2,Faded glory,11/26/2013,500
134,Corinthia Hotel London,Comfort Room without Daylight,"? 8,135",5,You will not be disappointed,02-10-2015,2915
135,"Mandarin Oriental Hyde Park, London",Double Room,"? 8,262",5,The Mandarin Oriental London,11/28/2017,914
136,Corinthia Hotel London,Standard Double or Twin Room,"? 8,952",5,Amazing one night stay!,08-12-2013,500
137,Corinthia Hotel London,Superior Double Room,"? 9,405",5,A city resort,12/21/2011,500
138,The Dorchester,Deluxe King Room,"? 8,083",5,Toda una Experiencia,2/28/2015,500
139,The Dorchester,Two-Bedroom House,"? 30,943",4,Understated class,11/15/2015,58
140,The Rembrandt,One-Bedroom Apartment,"? 10,205",4,Localização ideal,10/13/2014,4
141,Ridgemount Hotel,One-Bedroom Apartment,"? 11,430",5,Staff stupendo e b&b perfetto!,10-12-2015,9
142,Mondrian London at Sea Containers,Double Room,"? 12,736",5,New Years Eve,01-04-2016,500
143,Corinthia Hotel London,Superior Double Room,"? 14,451",5,Lovely Corinthia,06-12-2017,1281
144,Ridgemount Hotel,One-Bedroom Apartment,"? 7,552",4,"Zentral, gut und guenstig",11/21/2010,500
145,Corinthia Hotel London,Budget Double Room,"? 7,838",5,Splendid hotel,2/22/2018,824
146,The Savoy,Standard Double Room,"? 9,716",4,rooms not ready on time,12-08-2016,1292
147,Corinthia Hotel London,One-Bedroom Apartment,"? 10,205",5,A hotel to end all hotels,12-07-2013,2
148,The Rembrandt,Double Room,"? 10,238",2,Not what it used to be,04-11-2006,654
149,Rhodes Hotel,Standard Room,"? 10,695",4,Perfect for the budget traveler,3/30/2009,500
150,The Savoy,Three-Bedroom Apartment,"? 11,267",5,pure Class and luxury,03-01-2015,80
151,"Mandarin Oriental Hyde Park, London",Comfort Room,"? 12,573",5,Luxury in London,6/17/2014,717
152,Corinthia Hotel London,Deluxe Apartment,"? 15,614",4,A mixture of feelings,11/20/2016,181
153,"Mandarin Oriental Hyde Park, London",Apartment (6 Adults),"? 16,737",5,View of the park,11/24/2012,500
154,The Savoy,Tent (2 Adults) Tiny T. ,"? 4,389",5,Tea at the Savoy,5/14/2013,111
155,The Savoy,Standard Queen Room,"? 6,458",5,"So good, had to stay again.",11/13/2011,500
156,Mondrian London at Sea Containers,Standard Twin Room,"? 7,564",5,A grandiose experience.,9/27/2015,500
157,Apex London Wall Hotel,Twin Room,"? 7,715",5,Excellent hotel,08-06-2013,2590
158,"Mandarin Oriental Hyde Park, London",City Double or Twin Room,"? 8,156",5,Super,12/18/2013,500
159,Rhodes Hotel,One-Bedroom Apartment,"? 10,205",5,My favourite London Secret,12/15/2016,2
160,Mondrian London at Sea Containers,One-Bedroom Apartment,"? 10,205",5,Great Hotel!,05-08-2016,4
161,The Rembrandt,Standard Double or Twin Room,"? 10,483",5,Charming hotel,10/16/2016,1859
162,The Savoy,Double Room with Private Bathroom,"? 5,364",5,They've got it just right,11/25/2012,110
163,Mondrian London at Sea Containers,Queen Room,"? 11,678",5,#JustAwesome,05-04-2015,144
164,The Rembrandt,Deluxe Studio with Kitchen,"? 13,471",4,Bra',01-07-2017,606
165,The Savoy,Deluxe Room,"? 16,676",5,Muy buen hotel,8/19/2014,31
166,The Savoy,One-Bedroom Apartment,"? 17,451",5,Definitely worth the treat.,5/27/2015,6
167,"The Wellesley Knightsbridge, a Luxury Collection Hotel, London",Superior Suite,"? 18,860",5,A gem in London town,8/26/2014,431
168,The Savoy,Standard Double or Twin Room,"? 8,454",5,Amazing experience,7/31/2014,500
169,"Hotel Xenia, Autograph Collection",Comfort Double Room,"? 9,148",5,Brilliant Hotel!,5/26/2015,500
170,Corinthia Hotel London,Comfort Room,"? 10,614",5,Perfection,05-03-2017,883
171,"Hotel Xenia, Autograph Collection",Twin Room with Private Bathroom,"? 10,781",3,Small Rooms,2/24/2017,144
172,The Rembrandt,Classic Double or Twin Room,"? 10,781",3,Apenas Razoável,7/27/2013,2352
173,The Savoy,Deluxe Room,"? 13,185",5,Absolutely Fan-tas-tic!,6/19/2013,172
174,Corinthia Hotel London,Deluxe Room,"? 13,798",5,<U+041B><U+0443><U+0447><U+0448><U+0438><U+0439> <U+0438><U+0437> <U+043B><U+0443><U+0447><U+0448><U+0438><U+0445>,2/17/2016,713
175,"Bulgari Hotel, London",Junior Suite Amazon,"? 15,399",5,Viagem férias em Londres,8/21/2016,922
176,"Mandarin Oriental Hyde Park, London",Suite Kleine Hout 4,"? 15,842",5,Magnifique!,04-02-2017,522
177,Rhodes Hotel,Comfort Twin Room,"? 7,950",5,Value for money!,12-07-2016,500
178,"Mandarin Oriental Hyde Park, London",Economy Twin Room,"? 8,817",5,<U+512A><U+96C5><U+306A><U+6642><U+9593><U+304C><U+904E><U+3054><U+305B><U+308B><U+30E9><U+30B0><U+30B8><U+30E5><U+30A2><U+30EA><U+30FC><U+30DB><U+30C6><U+30EB>,11/20/2015,229
179,Corinthia Hotel London,Standard Double or Twin Room,"? 10,287",5,In one word,8/21/2014,1052
180,The Dorchester,Queen Studio,"? 10,859",5,Very posh afternoon tea,2/22/2017,267
181,Corinthia Hotel London,Deluxe Twin Room,"? 11,882",5,"Fantastic hotel, lovely spa",7/16/2013,1730
182,Rhodes Hotel,Quadruple Room with Private Bathroom,"? 20,554",4,Buen hotel para pasar unos días en Londres,11/17/2015,154
183,The Dorchester,Bed in 6-Bed Mixed Dorm with Shower,"? 5,408",5,Quality and good service,7/29/2018,500
184,Mondrian London at Sea Containers,Budget Double Room,"? 6,515",5,Lovely hotel with gorgeous rooms,09-07-2016,1281
185,Apex London Wall Hotel,Comfort Room,"? 9,005",5,Really loved this hotel. Fabulous room and lovely staff.,6/28/2011,807
186,The Rembrandt,Luxury Quadruple Room,"? 12,487",4,Lovely!,8/13/2015,748
187,Apex London Wall Hotel,Double Room with Shower,"? 7,368",4,Elegant hotel in quiet area,10/16/2012,542
188,Marble Arch Hotel,Standard Suite,"? 10,568",3,So so,11-11-2017,303
189,The Dorchester,Studio Apartments,"? 10,454",5,"Fantastic,Marvellous,Superb 5 stars in all its glory.",11/19/2010,451
190,Corinthia Hotel London,Standard King Room,"? 11,642",1,Way below expectations,01-08-2015,500
191,Corinthia Hotel London,Standard Suite,"? 12,093",5,Best hotel I've ever stayed in,6/15/2016,365
192,"Hotel Xenia, Autograph Collection",One-Bedroom Apartment,"? 13,182",4,Great but small rooms,07-03-2013,7
193,Mondrian London at Sea Containers,The Cabinet <double standard>,"? 13,745",5,Cool new happening hotel on the South bank,10-10-2014,3136
194,The Savoy,Deluxe Suite,"? 19,536",5,Royal Tea is a must,05-06-2018,375
195,The Dorchester,Deluxe Double Room,"? 10,989",5,A deserved Icon,10-03-2018,1299
196,Corinthia Hotel London,Deluxe Double Room,"? 11,348",5,The best in London,07-02-2015,887
197,Ridgemount Hotel,Queen Room with Atrium View,"? 11,728",4,"Great location, decent accommodations",03-09-2012,500
198,Apex London Wall Hotel,Superior King Room,"? 11,943",5,An oasis of tranquil luxury,7/24/2012,1018
199,Mondrian London at Sea Containers,Standard Double Room,"? 12,332",5,Perfect for a special occasion,1/23/2017,500
200,Apex London Wall Hotel,Standard Twin Room,"? 12,462",5,Faultless Hotel,02-07-2016,500
201,Ridgemount Hotel,One-Bedroom Apartment,"? 12,981",5,Family hotel with breakfast in good location,10-12-2018,46
202,"The Wellesley Knightsbridge, a Luxury Collection Hotel, London",Comfort Room City View,"? 13,858",5,One of the best hotel experiences I've had,7/21/2013,3337
203,The Savoy,Standard Room,"? 13,961",5,Excellent experience!!,8/18/2015,500
204,The Savoy,Standard Triple Room,"? 14,288",5,Elegance at its Finest,06-08-2011,293
205,The Dorchester,Studio Suite Queen Bed,"? 15,839",5,"Looked after impeccably, as usual",4/20/2014,500
206,The Dorchester,Classic King Room,"? 16,827",5,"""Quintessentially English"".",05-07-2013,1000
207,The Savoy,Two-Bedroom Suite,"? 18,811",5,Five Star Savoy,8/28/2016,16
208,"The Wellesley Knightsbridge, a Luxury Collection Hotel, London",Executive Queen Room,"? 5,704",4,Good location and service for sure..,10/19/2014,500
209,Mondrian London at Sea Containers,Double Room,"? 6,422",5,Lovely weekend break,9/29/2016,455
210,Apex London Wall Hotel,Double or Twin Room,"? 7,756",5,Best Hotel i have had the pleasure to stay at,8/25/2013,484
211,The Savoy,Standard Double Room,"? 8,112",5,Bucket list stay of my dreams!,2/20/2018,2125
212,The Savoy,Comfort Double,"? 8,838",5,Best Stay In town,11-08-2017,500
213,Corinthia Hotel London,Double Room,"? 8,377",5,The best hotel,11/30/2015,751
214,The Savoy,Comfort Double Room with Kitchenette,"? 9,103",5,Flawless,7/14/2017,994
215,Corinthia Hotel London,Standard Room with Double Bed and One Sofa Bed,"? 11,022",5,Fantastic hotel,2/24/2016,500
216,Mondrian London at Sea Containers,King Room,"? 11,173",5,One night stay to see a TV Show,4/17/2015,500
217,The Savoy,Small Double Room,"? 6,776",5,Muy buen hotel pero....,03-10-2016,500
218,The Savoy,Double Room,"? 8,243",5,Super Hotel an toller Lage,1/17/2012,40
219,Apex London Wall Hotel,Moxy Sleeper Queen,"? 8,736",5,Fantastic stay,11-03-2012,349
220,Mondrian London at Sea Containers,Double Room,"? 8,744",5,Buen hotel buena ubicación,6/24/2017,500
221,Corinthia Hotel London,Standard Double or Twin Room,"? 9,062",5,Elegant inner city hotel,8/18/2015,500
222,The Rembrandt,Double Room,"? 9,438",4,Great Hotel !!!,02-10-2016,2683
223,Rhodes Hotel,Standard Queen Room with Two Queen Beds,"? 10,581",2,Disappointing,10-07-2017,754
224,Rhodes Hotel,Superior Twin Room,"? 10,869",4,Does exactly what it says on the tin.,6/17/2016,3753
225,Corinthia Hotel London,Deluxe Double Room (2 Adults + 1 Child),"? 38,780",5,Great hotel for a frequent visitor,9/19/2012,500
226,The Rembrandt,Deluxe Room,"? 6,123",5,tolle Unterkunft an ausgezeichneter Lage,09-10-2012,138
227,The Savoy,Deluxe Twin Room,"? 8,083",5,My favourite Hotel in London,6/13/2018,500
228,Mondrian London at Sea Containers,Standard Double or Twin,"? 10,214",4,Stylish hotel in a great location,12/29/2014,1842
229,London Guest House,Business Double Room,"? 11,430",4,"Quiet, clean, comfortable hotel",03-05-2014,557
230,"Hotel Xenia, Autograph Collection",Deluxe Twin Room,"? 7,674",3,"Nice staff,clean,good location but TINY rooms with no place to put catkin or stuff",3/27/2014,500
231,Apex London Wall Hotel,Comfort Twin Room,"? 6,858",4,Lovely Hotel,10-10-2012,500
232,The Savoy,One-Bedroom House,"? 10,189",5,wow what a wonderful hotel,10-01-2014,142
233,Mondrian London at Sea Containers,Triple Room,"? 13,498",5,"Modern, Centrally Located 5-Star Hotel",08-09-2015,500
234,The Rembrandt,Comfort Twin Room,"? 8,465",4,Very nice - exceptional service,10/25/2012,2474
235,Rhodes Hotel,Deluxe Twin Room,"? 9,148",4,Location couln't be better,07-02-2009,1039
236,The Dorchester,Deluxe Double Studio,"? 9,389",5,Wonderful Afternoon Tea,03-10-2015,375
237,The Rembrandt,Deluxe Single Room,"? 11,913",3,Do not settle for second best,08-05-2013,500
238,Ridgemount Hotel,Double Room with Terrace,"? 6,662",5,Hôtel très agréable et bien placé avec un excellent accueil,3/29/2009,40
239,Rhodes Hotel,Comfort Room,"? 8,144",3,Comfortable,8/20/2016,500
240,Mondrian London at Sea Containers,Standard Room,"? 8,337",5,Absolutely perfect,04-11-2017,1725
241,Apex London Wall Hotel,Superior Double Room with Shower / Bath,"? 9,797",5,thouroughly enjoyed my stay,08-01-2010,500
242,The Dorchester,Deluxe Twin Room,"? 9,915",5,Soggiorno perfetto,05-09-2017,482
243,The Savoy,Superior Double Room,"? 10,610",5,"""A big warm hug...""",8/29/2013,264
244,Rhodes Hotel,Penthouse Apartment,"? 11,639",5,Excelente,12/26/2016,500
245,The Rembrandt,Deluxe Two-Bedroom Apartment,"? 13,332",5,"Comfortable rooms, great position",12-06-2013,500
246,Mondrian London at Sea Containers,Comfort Twin Room,"? 7,266",4,A stylish hotel with good service and a great location,02-08-2016,500
247,The Savoy,Small Comfort Twin Room,"? 7,759",1,Ripped Off,7/15/2014,500
248,The Dorchester,Standard Double Room,"? 8,426",3,Déçue par l'accueil....,1/21/2017,2662
249,Corinthia Hotel London,Comfort Double Room with Shower,"? 10,532",5,Has to be the best in London,8/20/2015,2394
250,London Guest House,One-Bedroom Apartment,"? 4,303",5,Bargain!,6/17/2018,71
251,"Hotel Xenia, Autograph Collection",Two-Bedroom House,"? 7,215",5,EXCELLENT PROPERTY,3/31/2017,
252,Mondrian London at Sea Containers,One-Bedroom Apartment,"? 18,533",2,Is this really a Morgans Hotel?!,6/14/2016,3
253,The Lanesborough,New Deluxe Room,"? 31,677",5,Perfect tranquility,10/28/2016,948
254,The Rembrandt,Deluxe Double Room superior,"? 34,428",5,So happy with The Rembrandt!,4/18/2014,500
255,Rhodes Hotel,Private Pod in Mixed Dormitory Room,"? 11,806",3,Wait until after Nov 2017,10-01-2017,1864
256,Apex London Wall Hotel,6 Person Room with Private Bathroom and Shower,"? 14,696",5,Good business hotel in City,01-08-2013,500
257,The Savoy,Comfort One-Bedroom Apartment,"? 15,443",5,Impecable Service,3/17/2013,967
258,Mondrian London at Sea Containers,Deluxe Twin Room,"? 18,459",5,excellent hotel,7/28/2015,1149
259,Apex London Wall Hotel,Comfort Two-Bedroom House,"? 20,569",5,Not sure I want to share..............,05-03-2012,715
260,45 Park Lane - Dorchester Collection,Large Studio Apartment,"? 22,048",5,Par 45,9/19/2017,500
261,The Savoy,Comfort Quadruple Room,"? 22,725",2,Not good enough!,07-07-2015,3193
262,Corinthia Hotel London,Triple Room,"? 24,819",5,"Stunning hotel, great location, relaxing spa facilities",8/18/2016,3576
263,Apex London Wall Hotel,Two-Bedroom Apartment,"? 30,616",4,Surprised at ease of location,8/14/2013,98
264,The Lanesborough,Twin Room,"? 32,443",5,Afternoon tea an absolute delight,7/16/2016,3772
265,"Bulgari Hotel, London",Large Double Room,"? 23,440",5,Unbelievable Spa,9/14/2012,2655
